Scanner,kV,Coll NxT,Width (mm),Acq NxT,k (16 cm),k (32 cm),,Naeotom Alpha,1,,,Siemens,1
Somatom Drive,140,32x0.6,19.2,64x0.6,1.0133,1.5055,,,,,,,
Somatom Drive,140,12x1.2,14.4,12x1.2,1.0245,1.5169,,,,,,,
Somatom Drive,140,64x0.6,38.4,128x0.6,1.0100,1.5047,,,,,,,
Somatom Drive,Sn100,2x1,2,2x1,1.0000,1.4259,,,,,,,
Somatom Drive,Sn100,6x0.6,3.6,6x0.6,0.9960,1.4368,,,,,,,
Somatom Drive,Sn100,8x0.6,4.8,16x0.6,0.9925,1.4348,,,,,,,
Somatom Drive,Sn100,1x5,5,1x5,1.0000,1.4375,,,,,,,
Somatom Drive,Sn100,10x0.6,6,20x0.6,0.9891,1.4219,,,,,,,
Somatom Drive,Sn100,1x10,10,1x10,1.0000,1.4375,,,,,,,
Somatom Drive,Sn100,12x1.2,14.4,12x1.2,1.0000,1.4355,,,,,,,
Somatom Drive,Sn100,20x0.6,12,40x0.6,0.9947,1.4308,,,,,,,
Somatom Drive,Sn100,32x0.6,19.2,64x0.6,0.9942,1.4333,,,,,,,
Somatom Drive,Sn100,12x1.2,14.4,12x1.2,0.9935,1.4444,,,,,,,
Somatom Drive,Sn100,64x0.6,38.4,128x0.6,0.9934,1.4340,,,,,,,
Somatom Drive,Sn140,2x1,2,2x1,1.0092,1.4163,,,,,,,
Somatom Drive,Sn140,6x0.6,3.6,6x0.6,1.0095,1.4156,,,,,,,
Somatom Drive,Sn140,8x0.6,4.8,16x0.6,1.0000,1.4109,,,,,,,
Somatom Drive,Sn140,1x5,5,1x5,1.0086,1.4182,,,,,,,
Somatom Drive,Sn140,10x0.6,6,20x0.6,1.0065,1.4110,,,,,,,
Somatom Drive,Sn140,1x10,10,1x10,1.0086,1.4182,,,,,,,
Somatom Drive,Sn140,12x1.2,14.4,12x1.2,1.0094,1.4184,,,,,,,
Somatom Drive,Sn140,20x0.6,12,40x0.6,1.0076,1.4141,,,,,,,
Somatom Drive,Sn140,32x0.6,19.2,64x0.6,1.0069,1.4176,,,,,,,
Somatom Drive,Sn140,12x1.2,14.4,12x1.2,1.0092,1.4187,,,,,,,
Somatom Drive,Sn140,64x0.6,38.4,128x0.6,1.0062,1.4132,,,,,,,
Symbia Pro.specta Q3,80,1x5,5,1x5,1.1107,1.9412,,,,,,,
Symbia Pro.specta Q4,80,1x10,10,1x10,1.1063,1.9412,,,,,,,
Symbia Pro.specta Q5,80,3x3,9,3x3,1.1057,1.9470,,,,,,,
Symbia Pro.specta Q6,80,16x0.7,11.2,16x0.7,1.1097,1.9444,,,,,,,
Symbia Pro.specta Q7,110,1x5,5,1x5,1.0728,1.7136,,,,,,,
Symbia Pro.specta Q8,110,1x10,10,1x10,1.0695,1.7204,,,,,,,
Symbia Pro.specta Q9,110,3x3,9,3x3,1.0706,1.7211,,,,,,,
Symbia Pro.specta Q10,110,16x0.7,11.2,16x0.7,1.0701,1.7116,,,,,,,
Symbia Pro.specta Q11,Sn110,16x0.7 (Sn),11.2,16x0.7 (Sn),1.0301,1.5138,,,,,,,
Symbia Pro.specta Q12,130,1x5,5,1x5,1.0617,1.6516,,,,,,,
Symbia Pro.specta Q13,130,1x10,10,1x10,1.0617,1.6541,,,,,,,
Symbia Pro.specta Q14,130,3x3,9,3x3,1.0617,1.6535,,,,,,,
Symbia Pro.specta Q14,130,16x0.7,11.2,16x0.7,1.0602,1.6474,,,,,,,
Symbia Pro.specta Q14,Sn130,16x0.7 (Sn),11.2,16x0.7 (Sn),1.0324,1.4888,,,,,,,
X.cite,70,1x10,10,1x10,1.0759,1.0071,,,,,,,
X.cite,80,1x10,10,1x10,1.0554,0.9977,,,,,,,
X.cite,90,1x10,10,1x10,1.0451,0.9888,,,,,,,
X.cite,100,1x10,10,1x10,1.0372,0.9856,,,,,,,
X.cite,110,1x10,10,1x10,1.0327,0.9822,,,,,,,
X.cite,120,1x10,10,1x10,1.0265,0.9811,,,,,,,
X.cite,130,1x10,10,1x10,1.0262,0.9811,,,,,,,
X.cite,140,1x10,10,1x10,1.0248,0.9813,,,,,,,
X.cite,150,1x10,10,1x10,1.0227,0.9816,,,,,,,
X.cite,70,64x0.6,,32x0.6,1.0738,,,,,,,,
X.cite,80,64x0.6,,32x0.6,1.0538,,,,,,,,
X.cite,90,64x0.6,,32x0.6,1.0432,,,,,,,,
X.cite,100,64x0.6,,32x0.6,1.0340,,,,,,,,
X.cite,110,64x0.6,,32x0.6,1.0298,,,,,,,,
X.cite,120,64x0.6,,32x0.6,1.0242,,,,,,,,
X.cite,130,64x0.6,,32x0.6,1.0231,,,,,,,,
X.cite,140,64x0.6,,32x0.6,1.0221,,,,,,,,
X.cite,150,64x0.6,,32x0.6,1.0200,,,,,,,,
