Scanner,kV,Coll NxT,Width (mm),Acq NxT,k (16 cm),k (32 cm),,Naeotom Alpha,1,,,Siemens,1
Definition Edge,70,6x1.2,7.2,6x1.2,1.0506,1.8481,,,,,,,
Definition Edge,70,1x10,10,1x10,1.0513,1.8364,,,,,,,
Definition Edge,70,20x0.6,12,40x0.6,1.0464,1.8667,,,,,,,
Definition Edge,70,12x1.2,14.4,12x1.2,1.0500,1.8571,,,,,,,
Definition Edge,70,32x1.2,38.4,32x1.2,1.0496,1.8689,,,,,,,
Definition Edge,70,64x0.6,38.4,28x0.6,1.0449,1.7164,,,,,,,
Definition Edge,80,2x1,2,2x1,1.0431,1.7383,,,,,,,
Definition Edge,80,6x0.6,3.6,6x0.6,1.0444,1.7399,,,,,,,
Definition Edge,80,8x0.6,4.8,8x0.6,1.0434,1.7421,,,,,,,
Definition Edge,80,8x0.6,4.8,16x0.6,1.0304,1.7377,,,,,,,
Definition Edge,80,1x5,5,1x5,1.0427,1.7396,,,,,,,
Definition Edge,80,10x0.6,6,20x0.6,1.0299,1.7402,,,,,,,
Definition Edge,80,6x1.2,7.2,6x1.2,1.0427,1.7391,,,,,,,
Definition Edge,80,1x10,10,1x10,1.0427,1.7396,,,,,,,
Definition Edge,80,20x0.6,12,40x0.6,1.0293,1.7442,,,,,,,
Definition Edge,80,12x1.2,14.4,12x1.2,1.0437,1.7398,,,,,,,
Definition Edge,80,32x1.2,38.4,32x1.2,1.0429,1.7315,,,,,,,
Definition Edge,80,64x0.6,38.4,28x0.6,1.0284,1.7383,,,,,,,
Definition Edge,100,2x1,2,2x1,1.0249,1.6049,,,,,,,
Definition Edge,100,6x0.6,3.6,6x0.6,1.0249,1.6041,,,,,,,
Definition Edge,100,8x0.6,4.8,8x0.6,1.0255,1.6050,,,,,,,
Definition Edge,100,8x0.6,4.8,16x0.6,1.0163,1.6110,,,,,,,
Definition Edge,100,1x5,5,1x5,1.0251,1.6055,,,,,,,
Definition Edge,100,10x0.6,6,20x0.6,1.0157,1.6082,,,,,,,
Definition Edge,100,6x1.2,7.2,6x1.2,1.0248,1.6019,,,,,,,
Definition Edge,100,1x10,10,1x10,1.0251,1.6055,,,,,,,
Definition Edge,100,20x0.6,12,40x0.6,1.0164,1.6115,,,,,,,
Definition Edge,100,12x1.2,14.4,12x1.2,1.0257,1.6036,,,,,,,
Definition Edge,100,32x1.2,38.4,32x1.2,1.0248,1.6066,,,,,,,
Definition Edge,100,64x0.6,38.4,28x0.6,1.0163,1.6082,,,,,,,
Definition Edge,120,2x1,2,2x1,1.0188,1.5444,,,,,,,
Definition Edge,120,6x0.6,3.6,6x0.6,1.0192,1.5440,,,,,,,
Definition Edge,120,8x0.6,4.8,8x0.6,1.0194,1.5447,,,,,,,
Definition Edge,120,8x0.6,4.8,16x0.6,1.0123,1.5400,,,,,,,
Definition Edge,120,1x5,5,1x5,1.0193,1.5443,,,,,,,
Definition Edge,120,10x0.6,6,20x0.6,1.0124,1.5404,,,,,,,
Definition Edge,120,6x1.2,7.2,6x1.2,1.0190,1.5453,,,,,,,
Definition Edge,120,1x10,10,1x10,1.0193,1.5443,,,,,,,
Definition Edge,120,20x0.6,12,40x0.6,1.0128,1.5396,,,,,,,
Definition Edge,120,12x1.2,14.4,12x1.2,1.0195,1.5436,,,,,,,
Definition Edge,120,32x1.2,38.4,32x1.2,1.0187,1.5442,,,,,,,
Definition Edge,120,64x0.6,38.4,28x0.6,1.0127,1.5423,,,,,,,
Definition Edge,140,2x1,2,2x1,1.0178,1.5129,,,,,,,
Definition Edge,140,6x0.6,3.6,6x0.6,1.0177,1.5122,,,,,,,
Definition Edge,140,8x0.6,4.8,8x0.6,1.0176,1.5123,,,,,,,
Definition Edge,140,8x0.6,4.8,16x0.6,1.0133,1.5203,,,,,,,
Definition Edge,140,1x5,5,1x5,1.0176,1.5127,,,,,,,
Definition Edge,140,10x0.6,6,20x0.6,1.0132,1.5218,,,,,,,
Definition Edge,140,6x1.2,7.2,6x1.2,1.0172,1.5124,,,,,,,
Definition Edge,140,1x10,10,1x10,1.0176,1.5127,,,,,,,
Definition Edge,140,20x0.6,12,40x0.6,1.0133,1.5201,,,,,,,
Definition Edge,140,12x1.2,14.4,12x1.2,1.0172,1.5119,,,,,,,
